expected_cut,best_sampled_cut,optimizer,depth,shots,noise_condition,optimizer_evaluations,two_qubit_gates,circuit_depth,simulator_runtime_seconds,optimal_parameters,run_seed,graph_id,graph_family,num_nodes,num_edges,graph_seed,config_id,exact_optimum,expected_approximation_ratio,best_sampled_approximation_ratio
7.80078125,10,COBYLA,1,256,N1,44,0,9,6.810427499993239,"(0.8053317061333303, 1.9319680275370723)",20000,G0001,erdos_renyi,10,12,10000,C01,10,0.780078125,1.0
7.845703125,10,COBYLA,1,512,N1,28,0,9,5.125446100020781,"(0.7349276591381992, 1.9359366427928744)",20001,G0001,erdos_renyi,10,12,10000,C02,10,0.7845703125,1.0
6.44921875,10,SPSA,1,256,N1,79,0,9,10.385047500021756,"(2.4868435520799834, 0.45655961708473575)",20002,G0001,erdos_renyi,10,12,10000,C03,10,0.644921875,1.0
7.96875,10,SPSA,1,512,N1,79,0,9,13.89318800001638,"(0.6408607808381953, 0.3666269752017599)",20003,G0001,erdos_renyi,10,12,10000,C04,10,0.796875,1.0
6.66796875,10,COBYLA,2,256,N1,48,0,14,6.005744199967012,"(1.911927435488479, 2.229492418398453, 0.3653815148509005, 0.9398147605841102)",20004,G0001,erdos_renyi,10,12,10000,C05,10,0.666796875,1.0
8.197265625,10,COBYLA,2,512,N1,70,0,14,15.295127200020943,"(0.5053885469790235, 0.6182041997377257, 1.891876262312425, 1.719490018294378)",20005,G0001,erdos_renyi,10,12,10000,C06,10,0.8197265625,1.0
8.43359375,10,SPSA,2,256,N1,79,0,14,11.997678900021128,"(0.43627947505326975, 0.9532963177052898, 0.44735812375587247, 1.7708563469353982)",20006,G0001,erdos_renyi,10,12,10000,C07,10,0.843359375,1.0
6.58203125,10,SPSA,2,512,N1,79,0,14,16.7664400000358,"(2.6426013791897756, 0.9183822283741315, 1.9020733839573571, 1.2634946853421394)",20007,G0001,erdos_renyi,10,12,10000,C08,10,0.658203125,1.0
7.00390625,10,COBYLA,3,256,N1,58,0,19,10.283844699966721,"(2.299935255373536, 1.9476707226997927, 2.447967977778212, 0.44066225269168674, 0.22740830906287932, 0.26916658782334146)",20008,G0001,erdos_renyi,10,12,10000,C09,10,0.700390625,1.0
8.470703125,10,COBYLA,3,512,N1,65,0,19,15.585306799970567,"(0.724621237497433, 1.1129592634852696, 1.4506854362956607, 0.48308679292001094, 0.32842702305236465, 0.19209973846969897)",20009,G0001,erdos_renyi,10,12,10000,C10,10,0.8470703125,1.0
7.9453125,10,SPSA,3,256,N1,79,0,19,13.790777499962132,"(2.895755414237861, 0.04044725739468208, 2.7290758474304413, 1.1315591143367794, 0.4150482542385274, 1.2158307560216945)",20010,G0001,erdos_renyi,10,12,10000,C11,10,0.79453125,1.0
7.86328125,10,SPSA,3,512,N1,79,0,19,20.460948599968106,"(-0.5712931265566397, 0.23794167167381175, -0.03054309443183923, 0.948446235518974, 1.011034207949219, 0.7789777585503175)",20011,G0001,erdos_renyi,10,12,10000,C12,10,0.786328125,1.0
6.3828125,10,COBYLA,1,256,N2,28,0,9,3.8115744999959134,"(2.416430232583475, 1.99899497674155)",20000,G0001,erdos_renyi,10,12,10000,C01,10,0.63828125,1.0
7.61328125,10,COBYLA,1,512,N2,25,0,9,4.5268259000149556,"(0.7013827255651554, 1.9198411714843202)",20001,G0001,erdos_renyi,10,12,10000,C02,10,0.761328125,1.0
6.38671875,10,SPSA,1,256,N2,79,0,9,10.297732200007886,"(2.434361137853914, 0.4054327002071863)",20002,G0001,erdos_renyi,10,12,10000,C03,10,0.638671875,1.0
7.619140625,10,SPSA,1,512,N2,79,0,9,16.064385600038804,"(0.6972792935656497, 0.3464586448823342)",20003,G0001,erdos_renyi,10,12,10000,C04,10,0.7619140625,1.0
6.34375,10,COBYLA,2,256,N2,46,0,14,7.042528100020718,"(2.117107436444694, 2.179157819897663, 0.5445874059425626, 1.3678793112716505)",20004,G0001,erdos_renyi,10,12,10000,C05,10,0.634375,1.0
6.35546875,10,COBYLA,2,512,N2,41,0,14,8.153790100011975,"(1.5251436381031844, 0.9487940037680781, 1.7090058278992362, 1.76691796824003)",20005,G0001,erdos_renyi,10,12,10000,C06,10,0.635546875,1.0
7.921875,10,SPSA,2,256,N2,79,0,14,11.040869100019336,"(0.47856335853038035, 0.9325958084236563, 0.45552477955224513, 1.829148758913515)",20006,G0001,erdos_renyi,10,12,10000,C07,10,0.7921875,1.0
6.392578125,10,SPSA,2,512,N2,79,0,14,16.892456299974583,"(2.741015555563619, 0.8689430215311884, 1.8789729372473438, 1.2842996156107132)",20007,G0001,erdos_renyi,10,12,10000,C08,10,0.6392578125,1.0
6.01953125,10,COBYLA,3,256,N2,52,0,19,9.313881400041282,"(2.811922945093124, 2.1474709783646997, 2.5095404958332295, 1.1022038914438164, 0.7529576312054945, 0.8894425917814268)",20008,G0001,erdos_renyi,10,12,10000,C09,10,0.601953125,1.0
7.708984375,10,COBYLA,3,512,N2,76,0,19,20.09474259999115,"(0.6746043076444085, 1.1317599214747347, 1.4907551964374723, 0.45527694007743097, 0.2423912430227998, 0.1502915616058941)",20009,G0001,erdos_renyi,10,12,10000,C10,10,0.7708984375,1.0
7.3828125,10,SPSA,3,256,N2,79,0,19,13.427618099958636,"(2.919988623370408, 0.07161916685889873, 2.633272723166146, 1.1599937529652777, 0.26544615385906034, 1.172493698414908)",20010,G0001,erdos_renyi,10,12,10000,C11,10,0.73828125,1.0
7.435546875,10,SPSA,3,512,N2,79,0,19,19.526410799997393,"(-0.24284549556677265, 0.514817442711482, -0.1699858574626878, 1.0550962959976666, 0.8710817619689925, 0.9887790051109719)",20011,G0001,erdos_renyi,10,12,10000,C12,10,0.7435546875,1.0
