expected_cut,best_sampled_cut,optimizer,depth,noise_condition,optimizer_evaluations,circuit_executions,total_executed_shots,two_qubit_gates,circuit_depth,simulator_runtime_seconds,optimal_parameters,experiment_id,graph_id,graph_family,num_nodes,num_edges,graph_seed,config_id,shots_per_circuit,exact_optimum,run_seed,schema_version,expected_approximation_ratio,best_sampled_approximation_ratio,run_status,failure_reason
7.79296875,12,SPSA,1,N0,79,80,20480,14,11,0.5302002320001975,"(2.129270334428175, -0.42572977886659896)",G0002_C03_N0_S1001,G0002,erdos_renyi,10,14,10001,C03,256,12,1001,1.0,0.6494140625,1.0,success,
7.9140625,12,SPSA,1,N0,79,80,40960,14,11,0.6191841980000845,"(2.1435563196223053, 1.1047915973066402)",G0002_C04_N0_S1000,G0002,erdos_renyi,10,14,10001,C04,512,12,1000,1.0,0.6595052083333334,1.0,success,
7.8828125,12,SPSA,1,N0,79,80,40960,14,11,1.486006227999951,"(2.0779512579513786, -0.45459497591184067)",G0002_C04_N0_S1001,G0002,erdos_renyi,10,14,10001,C04,512,12,1001,1.0,0.6569010416666666,1.0,success,
8.0078125,12,COBYLA,2,N0,37,38,9728,28,17,0.294698918999984,"(2.1479045668611816, 1.8369944348398068, 1.241232997838984, 0.3177683442744952)",G0002_C05_N0_S1000,G0002,erdos_renyi,10,14,10001,C05,256,12,1000,1.0,0.6673177083333334,1.0,success,
7.5703125,11,COBYLA,2,N0,43,44,11264,28,17,0.6201922640000248,"(3.1977989651486425, -0.7110184269703828, -0.6476273444889455, 0.9600047027780365)",G0002_C05_N0_S1001,G0002,erdos_renyi,10,14,10001,C05,256,12,1001,1.0,0.630859375,0.9166666666666666,success,
8.11328125,12,COBYLA,2,N0,37,38,19456,28,17,0.3706008159999783,"(2.199939824095459, 1.8874794058610551, 1.2396375262495012, 0.31940155372558676)",G0002_C06_N0_S1000,G0002,erdos_renyi,10,14,10001,C06,512,12,1000,1.0,0.6761067708333334,1.0,success,
7.783203125,12,COBYLA,2,N0,38,39,19968,28,17,0.4052398730000277,"(1.9079962124802323, -0.055206398794413476, -0.22609123007081386, 1.3264709377667432)",G0002_C06_N0_S1001,G0002,erdos_renyi,10,14,10001,C06,512,12,1001,1.0,0.6486002604166666,1.0,success,
8.21875,12,SPSA,2,N0,79,80,20480,28,17,0.5259476559999712,"(1.5419637161047173, 2.4302534053416127, 0.3360268303451895, 0.5777094054767555)",G0002_C07_N0_S1000,G0002,erdos_renyi,10,14,10001,C07,256,12,1000,1.0,0.6848958333333334,1.0,success,
7.85546875,12,SPSA,2,N0,79,80,20480,28,17,0.5761355690001437,"(1.7275436794981334, 0.3895594558407159, 0.04806152309490126, 1.0724655529940779)",G0002_C07_N0_S1001,G0002,erdos_renyi,10,14,10001,C07,256,12,1001,1.0,0.6546223958333334,1.0,success,
8.1953125,12,SPSA,2,N0,79,80,40960,28,17,0.7003987410000718,"(2.007588825549478, 1.8842289615828867, 1.1280359966891946, 0.18125010410253645)",G0002_C08_N0_S1000,G0002,erdos_renyi,10,14,10001,C08,512,12,1000,1.0,0.6829427083333334,1.0,success,
7.84375,12,SPSA,2,N0,79,80,40960,28,17,0.7030657660000088,"(1.5523332074868077, 0.46569051846773846, 0.1337517391059937, 1.148213160419253)",G0002_C08_N0_S1001,G0002,erdos_renyi,10,14,10001,C08,512,12,1001,1.0,0.6536458333333334,1.0,success,
8.07421875,12,COBYLA,3,N0,55,56,14336,42,23,0.5136757679999846,"(1.5763755961999355, 2.4100202796535384, 1.3400511712039673, 0.16373648321894838, 0.472241789513179, 0.06238432092899011)",G0002_C09_N0_S1000,G0002,erdos_renyi,10,14,10001,C09,256,12,1000,1.0,0.6728515625,1.0,success,
7.7421875,12,COBYLA,3,N0,50,51,13056,42,23,0.472285606000014,"(2.4205459925940755, 0.5371562118031261, 1.0966445213499092, 1.3423273052701605, 0.11365882472071875, 0.37125856928712053)",G0002_C09_N0_S1001,G0002,erdos_renyi,10,14,10001,C09,256,12,1001,1.0,0.6451822916666666,1.0,success,
8.24609375,11,COBYLA,3,N0,59,60,30720,42,23,0.6611825820000377,"(1.5539470250379805, 2.4944544896043714, 1.3474139290613165, 0.16490534237448, 0.48050511223059866, 0.04557980061425326)",G0002_C10_N0_S1000,G0002,erdos_renyi,10,14,10001,C10,512,12,1000,1.0,0.6871744791666666,0.9166666666666666,success,
7.85546875,12,COBYLA,3,N0,54,55,28160,42,23,0.6260628710001583,"(2.382752170111236, 0.5271681173442453, 1.1238707163531914, 1.3662254491341557, 0.08734950199102318, 0.3661370163188841)",G0002_C10_N0_S1001,G0002,erdos_renyi,10,14,10001,C10,512,12,1001,1.0,0.6546223958333334,1.0,success,
8.1328125,12,SPSA,3,N0,79,80,20480,42,23,0.5969957520001117,"(1.5703964677910465, 2.3708671131669994, 1.0681460127567939, 0.1442284005889642, 0.7127720985570396, 0.2110004014664113)",G0002_C11_N0_S1000,G0002,erdos_renyi,10,14,10001,C11,256,12,1000,1.0,0.677734375,1.0,success,
7.9375,12,SPSA,3,N0,79,80,20480,42,23,0.6046050049999394,"(2.290883414081738, 0.3559574242038226, 0.5319543789065718, 1.0959335039252511, 0.05361588681484515, 0.009238867487613885)",G0002_C11_N0_S1001,G0002,erdos_renyi,10,14,10001,C11,256,12,1001,1.0,0.6614583333333334,1.0,success,
8.408203125,12,SPSA,3,N0,79,80,40960,42,23,0.8357132370001636,"(1.5782212384752674, 2.2788519525890867, 1.0148657561302976, 0.2049729860651205, 0.6926147512070986, 0.2099402946956795)",G0002_C12_N0_S1000,G0002,erdos_renyi,10,14,10001,C12,512,12,1000,1.0,0.70068359375,1.0,success,
7.849609375,12,SPSA,3,N0,79,80,40960,42,23,0.7890705380000327,"(2.0344079708366745, 0.3310668200295357, 0.5772457553950534, 1.1392799959276305, -0.047446608415277106, -0.05907917808746352)",G0002_C12_N0_S1001,G0002,erdos_renyi,10,14,10001,C12,512,12,1001,1.0,0.6541341145833334,1.0,success,
7.7578125,12,COBYLA,1,N0,25,26,6656,15,9,0.1980412990001241,"(2.13798160410895, 1.4485125552425884)",G0003_C01_N0_S1000,G0003,erdos_renyi,10,15,10002,C01,256,12,1000,1.0,0.646484375,1.0,success,
7.42578125,12,COBYLA,1,N0,24,25,6400,15,9,0.2057854939998833,"(1.9015525619117777, 0.03224626486686689)",G0003_C01_N0_S1001,G0003,erdos_renyi,10,15,10002,C01,256,12,1001,1.0,0.6188151041666666,1.0,success,
8.736328125,12,COBYLA,1,N0,32,33,16896,15,9,0.3232295709999562,"(2.6731121597970224, 1.3117650215607168)",G0003_C02_N0_S1000,G0003,erdos_renyi,10,15,10002,C02,512,12,1000,1.0,0.72802734375,1.0,success,
8.75390625,12,COBYLA,1,N0,26,27,13824,15,9,0.5712439470000845,"(2.6121108646260724, -0.38052738978584216)",G0003_C02_N0_S1001,G0003,erdos_renyi,10,15,10002,C02,512,12,1001,1.0,0.7294921875,1.0,success,
7.98046875,12,SPSA,1,N0,79,80,20480,15,9,0.4996669180000026,"(2.1361097822183766, 1.0515283859172746)",G0003_C03_N0_S1000,G0003,erdos_renyi,10,15,10002,C03,256,12,1000,1.0,0.6650390625,1.0,success,
8.6640625,12,SPSA,1,N0,79,80,20480,15,9,0.4903237099999842,"(2.501375006607238, -0.35601967312745736)",G0003_C03_N0_S1001,G0003,erdos_renyi,10,15,10002,C03,256,12,1001,1.0,0.7220052083333334,1.0,success,
