graph_id,config_id,noise_condition,mean_expected_approximation_ratio,predicted_approximation_ratio,selected_actual_approximation_ratio,oracle_approximation_ratio,regret,oracle_config_id,selected_is_oracle,fixed_baseline_mean,gain_over_fixed_mean
G0050,C01,N2,0.6738757621951219,0.7080553643766536,0.6738757621951219,0.6762576219512195,0.0023818597560976,C02,False,0.675059950808847,-0.0011841886137250457
G0068,C06,N0,0.76953125,0.8059638659122493,0.76953125,0.830078125,0.060546875,C10,False,0.7199384291165043,0.0495928208834957
G0068,C04,N1,0.72314453125,0.7753333734782325,0.72314453125,0.77568359375,0.0525390624999999,C10,False,0.7010062016956589,0.02213832955434114
G0068,C04,N2,0.6932617187500001,0.7413768111177854,0.6932617187500001,0.7033203125,0.0100585937499999,C10,False,0.675059950808847,0.018201767941153135
G0070,C06,N0,0.759765625,0.8059638659122493,0.759765625,0.83134765625,0.0715820312499999,C10,False,0.7199384291165043,0.0398271958834957
G0070,C04,N1,0.73857421875,0.7753333734782325,0.73857421875,0.7762695312500001,0.0376953125000001,C10,False,0.7010062016956589,0.037568017054341096
G0070,C04,N2,0.7056640625,0.7413768111177854,0.7056640625,0.715625,0.0099609374999999,C02,False,0.675059950808847,0.03060411169115307
G0081,C06,N0,0.8250558035714286,0.7959151750965697,0.8250558035714286,0.8881138392857143,0.0630580357142857,C10,False,0.7199384291165043,0.1051173744549243
G0081,C04,N1,0.7940150669642857,0.764011644152411,0.7940150669642857,0.8210100446428572,0.0269949776785715,C10,False,0.7010062016956589,0.09300886526862684
G0081,C04,N2,0.7647181919642857,0.7337565780666984,0.7647181919642857,0.76611328125,0.0013950892857143,C02,False,0.675059950808847,0.08965824115543874
G0082,C06,N0,0.8187081473214286,0.7959151750965697,0.8187081473214286,0.8558175223214286,0.037109375,C10,False,0.7199384291165043,0.0987697182049243
G0082,C04,N1,0.7913643973214286,0.764011644152411,0.7913643973214286,0.7971540178571429,0.0057896205357143,C10,False,0.7010062016956589,0.09035819562576974
G0082,C04,N2,0.7560686383928571,0.7337565780666984,0.7560686383928571,0.7576729910714286,0.0016043526785715,C03,False,0.675059950808847,0.08100868758401014
G0083,C06,N0,0.7895182291666667,0.7959151750965697,0.7895182291666667,0.8244791666666667,0.0349609374999999,C09,False,0.7199384291165043,0.0695798000501624
G0083,C04,N1,0.762109375,0.764011644152411,0.762109375,0.7755208333333333,0.0134114583333333,C09,False,0.7010062016956589,0.06110317330434112
G0083,C04,N2,0.7201171875,0.7337565780666984,0.7201171875,0.7201171875,0.0,C04,True,0.675059950808847,0.045057236691153024
G0087,C06,N0,0.7765625,0.7959151750965697,0.7765625,0.7786458333333333,0.0020833333333332,C05,False,0.7199384291165043,0.05662407088349575
G0087,C04,N1,0.6759765625,0.764011644152411,0.6759765625,0.7494791666666667,0.0735026041666666,C03,False,0.7010062016956589,-0.025029639195658815
G0087,C04,N2,0.6578125,0.7337565780666984,0.6578125,0.7099609375,0.0521484374999999,C02,False,0.675059950808847,-0.01724745080884693
