graph_id,config_id,noise_condition,depth,optimizer,shots,mean_expected_approximation_ratio,std_expected_approximation_ratio,n_seeds,num_nodes,num_edges,graph_family,graph_seed,density,optimizer_code,noise_code,family_code
G0006,C10,N0,3,COBYLA,512,0.625244140625,0.015537014235055976,2,10,14,erdos_renyi,10005,0.3111111111111111,0,0,0
G0006,C11,N0,3,SPSA,256,0.638671875,0.002301779886674907,2,10,14,erdos_renyi,10005,0.3111111111111111,1,0,0
G0006,C12,N0,3,SPSA,512,0.642578125,0.003452669830012439,2,10,14,erdos_renyi,10005,0.3111111111111111,1,0,0
G0007,C01,N0,1,COBYLA,256,0.6185396634615384,0.0316583264413448,2,10,16,erdos_renyi,10006,0.35555555555555557,0,0,0
G0007,C02,N0,1,COBYLA,512,0.6440054086538463,0.03622647421643816,2,10,16,erdos_renyi,10006,0.35555555555555557,0,0,0
G0007,C03,N0,1,SPSA,256,0.6236478365384615,0.027408886650560276,2,10,16,erdos_renyi,10006,0.35555555555555557,1,0,0
G0007,C04,N0,1,SPSA,512,0.6026141826923077,0.007648991623412185,2,10,16,erdos_renyi,10006,0.35555555555555557,1,0,0
G0007,C05,N0,2,COBYLA,256,0.6431790865384616,0.02825877460871718,2,10,16,erdos_renyi,10006,0.35555555555555557,0,0,0
G0007,C06,N0,2,COBYLA,512,0.6617337740384616,0.017953883116064683,2,10,16,erdos_renyi,10006,0.35555555555555557,0,0,0
G0007,C07,N0,2,SPSA,256,0.701171875,0.10432374686376047,2,10,16,erdos_renyi,10006,0.35555555555555557,1,0,0
G0007,C08,N0,2,SPSA,512,0.6561748798076923,0.04939973756787025,2,10,16,erdos_renyi,10006,0.35555555555555557,1,0,0
G0007,C09,N0,3,COBYLA,256,0.6292067307692308,0.03824495811706081,2,10,16,erdos_renyi,10006,0.35555555555555557,0,0,0
G0007,C10,N0,3,COBYLA,512,0.6781850961538461,0.0146605672782067,2,10,16,erdos_renyi,10006,0.35555555555555557,0,0,0
G0007,C11,N0,3,SPSA,256,0.6482872596153846,0.03845743010660016,2,10,16,erdos_renyi,10006,0.35555555555555557,1,0,0
G0007,C12,N0,3,SPSA,512,0.6622596153846154,0.056942493196512796,2,10,16,erdos_renyi,10006,0.35555555555555557,1,0,0
G0008,C01,N0,1,COBYLA,256,0.67333984375,0.005294093739352459,2,10,15,erdos_renyi,10007,0.3333333333333333,0,0,0
G0008,C02,N0,1,COBYLA,512,0.67919921875,0.00184142390934002,2,10,15,erdos_renyi,10007,0.3333333333333333,0,0,0
G0008,C03,N0,1,SPSA,256,0.6466471354166666,0.003452669830012439,2,10,15,erdos_renyi,10007,0.3333333333333333,1,0,0
G0008,C04,N0,1,SPSA,512,0.6869303385416666,0.035562499249128125,2,10,15,erdos_renyi,10007,0.3333333333333333,1,0,0
G0008,C05,N0,2,COBYLA,256,0.638671875,0.011969255410709737,2,10,15,erdos_renyi,10007,0.3333333333333333,0,0,0
G0008,C06,N0,2,COBYLA,512,0.6669108072916667,0.033030541373785735,2,10,15,erdos_renyi,10007,0.3333333333333333,0,0,0
G0008,C07,N0,2,SPSA,256,0.7081705729166667,0.05915574308754647,2,10,15,erdos_renyi,10007,0.3333333333333333,1,0,0
G0008,C08,N0,2,SPSA,512,0.7146809895833333,0.06951375257758372,2,10,15,erdos_renyi,10007,0.3333333333333333,1,0,0
G0008,C09,N0,3,COBYLA,256,0.6599934895833333,0.02232726490074717,2,10,15,erdos_renyi,10007,0.3333333333333333,0,0,0
G0008,C10,N0,3,COBYLA,512,0.6522623697916666,0.014846480269053488,2,10,15,erdos_renyi,10007,0.3333333333333333,0,0,0
