graph_id,config_id,noise_condition,run_seed,depth,optimizer,shots,expected_approximation_ratio
G0008,C05,N0,1000,2,COBYLA,256,0.6302083333333334
G0008,C05,N0,1001,2,COBYLA,256,0.6471354166666666
G0008,C06,N0,1000,2,COBYLA,512,0.6902669270833334
G0008,C06,N0,1001,2,COBYLA,512,0.6435546875
G0008,C07,N0,1000,2,SPSA,256,0.75
G0008,C07,N0,1001,2,SPSA,256,0.6663411458333334
G0008,C08,N0,1000,2,SPSA,512,0.7638346354166666
G0008,C08,N0,1001,2,SPSA,512,0.66552734375
G0008,C09,N0,1000,3,COBYLA,256,0.6442057291666666
G0008,C09,N0,1001,3,COBYLA,256,0.67578125
G0008,C10,N0,1000,3,COBYLA,512,0.6417643229166666
G0008,C10,N0,1001,3,COBYLA,512,0.6627604166666666
G0008,C11,N0,1000,3,SPSA,256,0.6832682291666666
G0008,C11,N0,1001,3,SPSA,256,0.6878255208333334
G0008,C12,N0,1000,3,SPSA,512,0.70703125
G0008,C12,N0,1001,3,SPSA,512,0.6780598958333334
G0009,C01,N0,1000,1,COBYLA,256,0.5919270833333333
G0009,C01,N0,1001,1,COBYLA,256,0.5651041666666666
G0009,C02,N0,1000,1,COBYLA,512,0.73515625
G0009,C02,N0,1001,1,COBYLA,512,0.5717447916666667
G0009,C03,N0,1000,1,SPSA,256,0.5721354166666667
G0009,C03,N0,1001,1,SPSA,256,0.5955729166666667
G0009,C04,N0,1000,1,SPSA,512,0.571484375
G0009,C04,N0,1001,1,SPSA,512,0.5936197916666667
G0009,C05,N0,1000,2,COBYLA,256,0.5875
G0009,C05,N0,1001,2,COBYLA,256,0.575
G0009,C06,N0,1000,2,COBYLA,512,0.5860677083333333
G0009,C06,N0,1001,2,COBYLA,512,0.5852864583333334
G0009,C07,N0,1000,2,SPSA,256,0.5875
G0009,C07,N0,1001,2,SPSA,256,0.5869791666666667
G0009,C08,N0,1000,2,SPSA,512,0.5856770833333333
G0009,C08,N0,1001,2,SPSA,512,0.5860677083333333
G0009,C09,N0,1000,3,COBYLA,256,0.60546875
G0009,C09,N0,1001,3,COBYLA,256,0.5815104166666667
G0009,C10,N0,1000,3,COBYLA,512,0.5822916666666667
G0009,C10,N0,1001,3,COBYLA,512,0.60078125
G0009,C11,N0,1000,3,SPSA,256,0.55703125
G0009,C11,N0,1001,3,SPSA,256,0.584375
G0009,C12,N0,1000,3,SPSA,512,0.5716145833333334
G0009,C12,N0,1001,3,SPSA,512,0.5856770833333333
G0010,C01,N0,1000,1,COBYLA,256,0.5560825892857143
G0010,C01,N0,1001,1,COBYLA,256,0.7003348214285714
G0010,C02,N0,1000,1,COBYLA,512,0.5477120535714286
G0010,C02,N0,1001,1,COBYLA,512,0.6923828125
G0010,C03,N0,1000,1,SPSA,256,0.6618303571428571
G0010,C03,N0,1001,1,SPSA,256,0.5463169642857143
G0010,C04,N0,1000,1,SPSA,512,0.6064453125
G0010,C04,N0,1001,1,SPSA,512,0.5638950892857143
G0010,C05,N0,1000,2,COBYLA,256,0.5965401785714286
G0010,C05,N0,1001,2,COBYLA,256,0.572265625
G0010,C06,N0,1000,2,COBYLA,512,0.5772879464285714
G0010,C06,N0,1001,2,COBYLA,512,0.6141183035714286
G0010,C07,N0,1000,2,SPSA,256,0.6219308035714286
G0010,C07,N0,1001,2,SPSA,256,0.6060267857142857
G0010,C08,N0,1000,2,SPSA,512,0.6079799107142857
G0010,C08,N0,1001,2,SPSA,512,0.5969587053571429
G0010,C09,N0,1000,3,COBYLA,256,0.54296875
G0010,C09,N0,1001,3,COBYLA,256,0.603515625
G0010,C10,N0,1000,3,COBYLA,512,0.5435267857142857
G0010,C10,N0,1001,3,COBYLA,512,0.6063058035714286
G0010,C11,N0,1000,3,SPSA,256,0.5895647321428571
G0010,C11,N0,1001,3,SPSA,256,0.744140625
G0010,C12,N0,1000,3,SPSA,512,0.5862165178571429
G0010,C12,N0,1001,3,SPSA,512,0.7950613839285714
G0011,C01,N0,1000,1,COBYLA,256,0.6390625
G0011,C01,N0,1001,1,COBYLA,256,0.6361328125
G0011,C02,N0,1000,1,COBYLA,512,0.6427734375
G0011,C02,N0,1001,1,COBYLA,512,0.62939453125
G0011,C03,N0,1000,1,SPSA,256,0.6421875
G0011,C03,N0,1001,1,SPSA,256,0.625390625
G0011,C04,N0,1000,1,SPSA,512,0.64287109375
G0011,C04,N0,1001,1,SPSA,512,0.636328125
G0011,C05,N0,1000,2,COBYLA,256,0.6390625
G0011,C05,N0,1001,2,COBYLA,256,0.6255859375
G0011,C06,N0,1000,2,COBYLA,512,0.75361328125
G0011,C06,N0,1001,2,COBYLA,512,0.63291015625
G0011,C07,N0,1000,2,SPSA,256,0.715234375
G0011,C07,N0,1001,2,SPSA,256,0.6224609375
G0011,C08,N0,1000,2,SPSA,512,0.6873046875
G0011,C08,N0,1001,2,SPSA,512,0.6296875
G0011,C09,N0,1000,3,COBYLA,256,0.62734375
G0011,C09,N0,1001,3,COBYLA,256,0.62421875
G0011,C10,N0,1000,3,COBYLA,512,0.6470703125
G0011,C10,N0,1001,3,COBYLA,512,0.6525390625
G0011,C11,N0,1000,3,SPSA,256,0.652734375
G0011,C11,N0,1001,3,SPSA,256,0.6494140625
G0011,C12,N0,1000,3,SPSA,512,0.7546875
G0011,C12,N0,1001,3,SPSA,512,0.65234375
G0012,C01,N0,1000,1,COBYLA,256,0.6056857638888888
G0012,C01,N0,1001,1,COBYLA,256,0.5998263888888888
G0012,C02,N0,1000,1,COBYLA,512,0.6239149305555556
G0012,C02,N0,1001,1,COBYLA,512,0.626953125
G0012,C03,N0,1000,1,SPSA,256,0.6271701388888888
G0012,C03,N0,1001,1,SPSA,256,0.5989583333333334
G0012,C04,N0,1000,1,SPSA,512,0.6220703125
G0012,C04,N0,1001,1,SPSA,512,0.6085069444444444
G0012,C05,N0,1000,2,COBYLA,256,0.6017795138888888
G0012,C05,N0,1001,2,COBYLA,256,0.6043836805555556
G0012,C06,N0,1000,2,COBYLA,512,0.7616102430555556
G0012,C06,N0,1001,2,COBYLA,512,0.6261935763888888
G0012,C07,N0,1000,2,SPSA,256,0.6401909722222222
G0012,C07,N0,1001,2,SPSA,256,0.6117621527777778
G0012,C08,N0,1000,2,SPSA,512,0.7542317708333334
G0012,C08,N0,1001,2,SPSA,512,0.6194661458333334
G0012,C09,N0,1000,3,COBYLA,256,0.6299913194444444
G0012,C09,N0,1001,3,COBYLA,256,0.5989583333333334
G0012,C10,N0,1000,3,COBYLA,512,0.6907552083333334
G0012,C10,N0,1001,3,COBYLA,512,0.6353081597222222
G0012,C11,N0,1000,3,SPSA,256,0.638671875
G0012,C11,N0,1001,3,SPSA,256,0.6206597222222222
G0012,C12,N0,1000,3,SPSA,512,0.6368272569444444
G0012,C12,N0,1001,3,SPSA,512,0.6325954861111112
G0013,C01,N0,1000,1,COBYLA,256,0.6454613095238095
G0013,C01,N0,1001,1,COBYLA,256,0.6506696428571429
G0013,C02,N0,1000,1,COBYLA,512,0.6023995535714286
G0013,C02,N0,1001,1,COBYLA,512,0.6510416666666666
G0013,C03,N0,1000,1,SPSA,256,0.6419270833333334
