graph_id,config_id,noise_condition,depth,optimizer,shots,mean_expected_approximation_ratio,std_expected_approximation_ratio,n_seeds,num_nodes,num_edges,graph_family,graph_seed,density,optimizer_code,noise_code,family_code,split
G0055,C11,N0,3,SPSA,256,0.6458333333333333,0.1031197389230382,2,10,20,random_regular,10054,0.4444444444444444,1,0,1,train
G0055,C12,N0,3,SPSA,512,0.6617838541666666,0.0986696311421332,2,10,20,random_regular,10054,0.4444444444444444,1,0,1,train
G0056,C01,N0,1,COBYLA,256,0.707763671875,0.0790661391072848,2,10,20,random_regular,10055,0.4444444444444444,0,0,1,train
G0056,C02,N0,1,COBYLA,512,0.7137451171875,0.0571416856867058,2,10,20,random_regular,10055,0.4444444444444444,0,0,1,train
G0056,C03,N0,1,SPSA,256,0.748779296875,0.0258950237250932,2,10,20,random_regular,10055,0.4444444444444444,1,0,1,train
G0056,C04,N0,1,SPSA,512,0.7103271484375,0.0909778500208277,2,10,20,random_regular,10055,0.4444444444444444,1,0,1,train
G0056,C05,N0,2,COBYLA,256,0.75732421875,0.0013810679320049,2,10,20,random_regular,10055,0.4444444444444444,0,0,1,train
G0056,C06,N0,2,COBYLA,512,0.79150390625,0.0075958736260273,2,10,20,random_regular,10055,0.4444444444444444,0,0,1,train
G0056,C07,N0,2,SPSA,256,0.750244140625,0.012774878371046,2,10,20,random_regular,10055,0.4444444444444444,1,0,1,train
G0056,C08,N0,2,SPSA,512,0.7022705078125,0.1044432623578762,2,10,20,random_regular,10055,0.4444444444444444,1,0,1,train
G0056,C09,N0,3,COBYLA,256,0.72216796875,0.1208434440504353,2,10,20,random_regular,10055,0.4444444444444444,0,0,1,train
G0056,C10,N0,3,COBYLA,512,0.69677734375,0.0987463571383557,2,10,20,random_regular,10055,0.4444444444444444,0,0,1,train
G0056,C11,N0,3,SPSA,256,0.692138671875,0.1101401675773968,2,10,20,random_regular,10055,0.4444444444444444,1,0,1,train
G0056,C12,N0,3,SPSA,512,0.71484375,0.1242961138804478,2,10,20,random_regular,10055,0.4444444444444444,1,0,1,train
G0057,C01,N0,1,COBYLA,256,0.700927734375,0.0997821580873594,2,10,20,random_regular,10056,0.4444444444444444,0,0,1,validation
G0057,C02,N0,1,COBYLA,512,0.7225341796875,0.1113486020179011,2,10,20,random_regular,10056,0.4444444444444444,0,0,1,validation
G0057,C03,N0,1,SPSA,256,0.707275390625,0.1474290017415311,2,10,20,random_regular,10056,0.4444444444444444,1,0,1,validation
G0057,C04,N0,1,SPSA,512,0.7125244140625,0.1327551549639782,2,10,20,random_regular,10056,0.4444444444444444,1,0,1,validation
G0057,C05,N0,2,COBYLA,256,0.80224609375,0.0069053396600248,2,10,20,random_regular,10056,0.4444444444444444,0,0,1,validation
G0057,C06,N0,2,COBYLA,512,0.7774658203125,0.0395330695536424,2,10,20,random_regular,10056,0.4444444444444444,0,0,1,validation
G0057,C07,N0,2,SPSA,256,0.69775390625,0.1208434440504353,2,10,20,random_regular,10056,0.4444444444444444,1,0,1,validation
G0057,C08,N0,2,SPSA,512,0.7034912109375,0.1189444756439285,2,10,20,random_regular,10056,0.4444444444444444,1,0,1,validation
G0057,C09,N0,3,COBYLA,256,0.745361328125,0.124641380863449,2,10,20,random_regular,10056,0.4444444444444444,0,0,1,validation
G0057,C10,N0,3,COBYLA,512,0.8583984375,0.0290024265721044,2,10,20,random_regular,10056,0.4444444444444444,0,0,1,validation
